parameter,sparsity,top1,top5,loss
conv_4.model.0.conv_dw.conv.weight,0.0,0.7229145,0,0
conv_4.model.0.conv_dw.conv.weight,0.1,0.7025536,0,0
conv_4.model.0.conv_dw.conv.weight,0.2,0.702826,0,0
conv_4.model.0.conv_dw.conv.weight,0.30000000000000004,0.68873,0,0
conv_4.model.0.conv_dw.conv.weight,0.4,0.7176711,0,0
conv_4.model.0.conv_dw.conv.weight,0.5,0.708478,0,0
conv_4.model.0.conv_dw.conv.weight,0.6000000000000001,0.0001362,0,0
conv_4.model.0.conv_dw.conv.weight,0.7000000000000001,0.0002043,0,0
conv_4.model.0.conv_dw.conv.weight,0.8,0.0001362,0,0
conv_4.model.0.conv_dw.conv.weight,0.9,6.81e-05,0,0
conv_4.model.0.project.conv.weight,0.0,0.7229145,0,0
conv_4.model.0.project.conv.weight,0.1,0.7191692,0,0
conv_4.model.0.project.conv.weight,0.2,0.719714,0,0
conv_4.model.0.project.conv.weight,0.30000000000000004,0.7163773,0,0
conv_4.model.0.project.conv.weight,0.4,0.6977188,0,0
conv_4.model.0.project.conv.weight,0.5,0.685189,0,0
conv_4.model.0.project.conv.weight,0.6000000000000001,0.6722506,0,0
conv_4.model.0.project.conv.weight,0.7000000000000001,0.6174328,0,0
conv_4.model.0.project.conv.weight,0.8,0.0003405,0,0
conv_4.model.0.project.conv.weight,0.9,0.0002724,0,0
conv_4.model.1.conv.conv.weight,0.0,0.7229145,0,0
conv_4.model.1.conv.conv.weight,0.1,0.7193735,0,0
conv_4.model.1.conv.conv.weight,0.2,0.7111338,0,0
conv_4.model.1.conv.conv.weight,0.30000000000000004,0.6537964,0,0
conv_4.model.1.conv.conv.weight,0.4,0.4924753,0,0
conv_4.model.1.conv.conv.weight,0.5,0.0006129,0,0
conv_4.model.1.conv.conv.weight,0.6000000000000001,0.0002043,0,0
conv_4.model.1.conv.conv.weight,0.7000000000000001,0.0003405,0,0
conv_4.model.1.conv.conv.weight,0.8,0.0002724,0,0
conv_4.model.1.conv.conv.weight,0.9,0.0003405,0,0
conv_4.model.1.conv_dw.conv.weight,0.0,0.7229145,0,0
conv_4.model.1.conv_dw.conv.weight,0.1,0.7293837,0,0
conv_4.model.1.conv_dw.conv.weight,0.2,0.6996255,0,0
conv_4.model.1.conv_dw.conv.weight,0.30000000000000004,0.4964249,0,0
