parameter,sparsity,top1,top5,loss
layer3.5.conv2.weight,0.2,0.8448881,0,0
layer3.5.conv2.weight,0.30000000000000004,0.8390411,0,0
layer3.5.conv2.weight,0.4,0.8375376,0,0
layer3.5.conv2.weight,0.5,0.8480621,0,0
layer3.5.conv2.weight,0.6000000000000001,0.8351153,0,0
layer3.5.conv2.weight,0.7000000000000001,0.8341129,0,0
layer3.5.conv2.weight,0.8,0.803124,0,0
layer3.5.conv2.weight,0.9,0.6705647,0,0
layer4.0.conv1.weight,0.0,0.8414634,0,0
layer4.0.conv1.weight,0.1,0.813565,0,0
layer4.0.conv1.weight,0.2,0.7985299,0,0
layer4.0.conv1.weight,0.30000000000000004,0.8108086,0,0
layer4.0.conv1.weight,0.4,0.7773973,0,0
layer4.0.conv1.weight,0.5,0.7386402,0,0
layer4.0.conv1.weight,0.6000000000000001,0.6531073,0,0
layer4.0.conv1.weight,0.7000000000000001,0.5573004,0,0
layer4.0.conv1.weight,0.8,0.430588,0,0
layer4.0.conv1.weight,0.9,0.1992148,0,0
layer4.0.conv2.weight,0.0,0.8414634,0,0
layer4.0.conv2.weight,0.1,0.7950217,0,0
layer4.0.conv2.weight,0.2,0.7667892,0,0
layer4.0.conv2.weight,0.30000000000000004,0.727865,0,0
layer4.0.conv2.weight,0.4,0.590127,0,0
layer4.0.conv2.weight,0.5,0.5580521,0,0
layer4.0.conv2.weight,0.6000000000000001,0.4931507,0,0
layer4.0.conv2.weight,0.7000000000000001,0.4499666,0,0
layer4.0.conv2.weight,0.8,0.3168226,0,0
layer4.0.conv2.weight,0.9,0.1977949,0,0
layer4.0.downsample.0.weight,0.0,0.8414634,0,0
layer4.0.downsample.0.weight,0.1,0.835867,0,0
layer4.0.downsample.0.weight,0.2,0.8327765,0,0
layer4.0.downsample.0.weight,0.30000000000000004,0.8266789,0,0
layer4.0.downsample.0.weight,0.4,0.8316906,0,0
layer4.0.downsample.0.weight,0.5,0.8334447,0,0
layer4.0.downsample.0.weight,0.6000000000000001,0.8231707,0,0
layer4.0.downsample.0.weight,0.7000000000000001,0.822419,0,0
layer4.0.downsample.0.weight,0.8,0.8204978,0,0
layer4.0.downsample.0.weight,0.9,0.8044604,0,0
layer4.1.conv1.weight,0.0,0.8414634,0,0
layer4.1.conv1.weight,0.1,0.816572,0,0
layer4.1.conv1.weight,0.2,0.810558,0,0
layer4.1.conv1.weight,0.30000000000000004,0.7894253,0,0
layer4.1.conv1.weight,0.4,0.7683762,0,0
layer4.1.conv1.weight,0.5,0.7532576,0,0
layer4.1.conv1.weight,0.6000000000000001,0.7591881,0,0
layer4.1.conv1.weight,0.7000000000000001,0.7408119,0,0
layer4.1.conv1.weight,0.8,0.7546776,0,0
layer4.1.conv1.weight,0.9,0.6680588,0,0
layer4.1.conv2.weight,0.0,0.8414634,0,0
layer4.1.conv2.weight,0.1,0.8391246,0,0
layer4.1.conv2.weight,0.2,0.8361176,0,0
layer4.1.conv2.weight,0.30000000000000004,0.8303542,0,0
layer4.1.conv2.weight,0.4,0.8275142,0,0
layer4.1.conv2.weight,0.5,0.8336118,0,0
layer4.1.conv2.weight,0.6000000000000001,0.8124791,0,0
layer4.1.conv2.weight,0.7000000000000001,0.8106415,0,0
layer4.1.conv2.weight,0.8,0.8098062,0,0
layer4.1.conv2.weight,0.9,0.8025393,0,0
layer4.2.conv1.weight,0.0,0.8414634,0,0
layer4.2.conv1.weight,0.1,0.8283495,0,0
layer4.2.conv1.weight,0.2,0.8349482,0,0
layer4.2.conv1.weight,0.30000000000000004,0.8335282,0,0
layer4.2.conv1.weight,0.4,0.809305,0,0
layer4.2.conv1.weight,0.5,0.8088039,0,0
layer4.2.conv1.weight,0.6000000000000001,0.8174073,0,0
layer4.2.conv1.weight,0.7000000000000001,0.7967758,0,0
layer4.2.conv1.weight,0.8,0.7833278,0,0
layer4.2.conv1.weight,0.9,0.6646341,0,0
layer4.2.conv2.weight,0.0,0.8414634,0,0
layer4.2.conv2.weight,0.1,0.8367023,0,0
layer4.2.conv2.weight,0.2,0.8313565,0,0
layer4.2.conv2.weight,0.30000000000000004,0.829853,0,0
layer4.2.conv2.weight,0.4,0.8329435,0,0
layer4.2.conv2.weight,0.5,0.831273,0,0
layer4.2.conv2.weight,0.6000000000000001,0.8185767,0,0
layer4.2.conv2.weight,0.7000000000000001,0.7999499,0,0
layer4.2.conv2.weight,0.8,0.7976111,0,0
layer4.2.conv2.weight,0.9,0.7709656,0,0
fc1.weight,0.0,0.8414634,0,0
fc1.weight,0.1,0.8120615,0,0
fc1.weight,0.2,0.817992,0,0
fc1.weight,0.30000000000000004,0.7963582,0,0
fc1.weight,0.4,0.7799866,0,0
fc1.weight,0.5,0.7338791,0,0
fc1.weight,0.6000000000000001,0.6744069,0,0
fc1.weight,0.7000000000000001,0.5976445,0,0
fc1.weight,0.8,0.4608253,0,0
fc1.weight,0.9,0.190862,0,0
